Reference Name	Text	Font
0e810c56	Raven.	[0, 6, 'DINRoundOffcPro']
17c90e5c	Nareszcie dobiega \n końca.	[0, 24, 'DINRoundOffcPro']
1bd68d9a	Naprzód!	[0, 8, 'DINRoundOffcPro']
41b8ff57	...	[0, 3, 'DINRoundOffcPro']
5f3c860d	Kat!	[0, 4, 'DINRoundOffcPro']
7c2707ca	Moja długa podróż...	[0, 20, 'DINRoundOffcPro']
856f09d0	Muszę stać się ciągłością \n i zamknąć mrok w czarnej dziurze.	[0, 59, 'DINRoundOffcPro']
87047f6f	Wiem.	[0, 5, 'DINRoundOffcPro']
a8ab6d65	Czy ty... \n musisz iść?	[0, 21, 'DINRoundOffcPro']
b1f36f6b	Hej, pamiętasz? \n To ty zatrzymałeś mnie \n sto lat temu.	[0, 52, 'DINRoundOffcPro']
d29a5e61	Stwórca, Bit, powiedział \n mi coś po tym, jak \n odzyskałam pamięć \n utraconą sto lat temu.	[0, 84, 'DINRoundOffcPro']
dbe26067	Był ktoś jeszcze...	[0, 19, 'DINRoundOffcPro']
e31a75d7	Nie sądziłam, że \n jeszcze kiedyś się \n zobaczymy. To chyba \n zasługa Bita.	[0, 69, 'DINRoundOffcPro']
ec6277dd	Zrobię wszystko, aby \n ocalić ten świat.	[0, 38, 'DINRoundOffcPro']
ep26_00100	Ach, zdmuchuje mnie!	[0, 20, 'DINRoundOffcPro']
ep26_00100c_010	A więc jesteś...	[0, 16, 'DINRoundOffcPro']
ep26_00100c_020	Mrok.	[0, 5, 'DINRoundOffcPro']
ep26_00100c_030	Pustka.	[0, 7, 'DINRoundOffcPro']
ep26_00100c_040	Strach.	[0, 7, 'DINRoundOffcPro']
ep26_00100c_050	Rozpacz.	[0, 8, 'DINRoundOffcPro']
ep26_00100c_060	Koniec.	[0, 7, 'DINRoundOffcPro']
ep26_00100c_070	Niszczycielska moc, \n która obróci świat \n w perzynę.	[0, 49, 'DINRoundOffcPro']
ep26_00100c_080	Jest jedna osoba, \n która może strzec \n światła od mroku...	[0, 55, 'DINRoundOffcPro']
ep26_00100c_090	To ty.	[0, 6, 'DINRoundOffcPro']
ep26_00101	Muszę być cięższa, aby oprzeć się wiatrowi!	[0, 43, 'DINRoundOffcPro']
ep26_00104	Pokonaj niszczycielską moc	[0, 26, 'DINRoundOffcPro']
ep26_00105	Muszę zniszczyć wszystkie rdzenie.	[0, 34, 'DINRoundOffcPro']
ep26_00106	Rdzenie się odradzają?!	[0, 23, 'DINRoundOffcPro']
ep26_00107	Muszę to powstrzymać!	[0, 21, 'DINRoundOffcPro']
ep26_00108	Za każdym razem wraca do życia!	[0, 31, 'DINRoundOffcPro']
ep26_00110	A to co?	[0, 8, 'DINRoundOffcPro']
ep26_00300m_010	Jesteś...	[0, 9, 'DINRoundOffcPro']
ep26_00410k_010	Kat!	[0, 4, 'DINRoundOffcPro']
ep26_00410k_020	Po tym wszystkim, \n co dla nas zrobiłaś...	[0, 40, 'DINRoundOffcPro']
ep26_00410k_030	My musimy teraz \n pomóc tobie!	[0, 28, 'DINRoundOffcPro']
ep26_00500m_010	Ja obronię Kat!	[0, 15, 'DINRoundOffcPro']
ep26_00510k_010	Nie martw się, \n tym razem nad \n wszystkim panuję!	[0, 46, 'DINRoundOffcPro']
ep26_00510k_020	Wciąż jestem Cecie! \n Zrobię wszystko, \n aby pomóc!	[0, 47, 'DINRoundOffcPro']
ep26_00510k_030	Proszę, Kat, \n pokonaj tego \n potwora!	[0, 34, 'DINRoundOffcPro']
ep26_00510k_040	Cecie!	[0, 6, 'DINRoundOffcPro']
ep26_01000	Bismalia!	[0, 9, 'DINRoundOffcPro']
ep26_01001	Może mamy szansę!	[0, 17, 'DINRoundOffcPro']
ep26_02000	Lisa!!!	[0, 7, 'DINRoundOffcPro']
ep26_02001	Ten rdzeń jest inny. Muszę go zniszczyć!	[0, 40, 'DINRoundOffcPro']
ep26_02002	C-co się dzieje?!	[0, 17, 'DINRoundOffcPro']
ep26_02003	Cz-czuję się taka słaba...	[0, 26, 'DINRoundOffcPro']
ep26_02005	Nawet jeśli odbierzesz mi moc, nie poddam się!	[0, 46, 'DINRoundOffcPro']
ep26_02100	A masz!	[0, 7, 'DINRoundOffcPro']
ep26_03000	Pokonaj niszczycielską moc	[0, 26, 'DINRoundOffcPro']
ep26_04000	Jak to możliwe, że to wciąż się rusza?!	[0, 39, 'DINRoundOffcPro']
ep26_04002	Pyłku, nie! Ty też?!	[0, 20, 'DINRoundOffcPro']
ep26_04004	Cecie: \n Kat, uciekaj!	[0, 7, 'DINRoundOffcPro'], [7, 20, 'DINRoundOffcPro']
ep26_04006	Cecie!	[0, 6, 'DINRoundOffcPro']
ep26_04007	Nie masz już mocy kontrolowania grawitacji!	[0, 43, 'DINRoundOffcPro']
ep26_04010	Ataki specjalne i pola statyczne zostały zablokowane!	[0, 53, 'DINRoundOffcPro']
ep26_04012	Zmiana stylów została zablokowana!	[0, 34, 'DINRoundOffcPro']
ep26_05000	Muszę... muszę wstać...	[0, 23, 'DINRoundOffcPro']
ep26_05001	Malutka, dlaczego tak cierpisz?	[0, 31, 'DINRoundOffcPro']
ep26_05002	Dlaczego walczysz?	[0, 18, 'DINRoundOffcPro']
ep26_05003	Czy to zaakcpetujesz, czy nie...	[0, 32, 'DINRoundOffcPro']
ep26_05004	Wszystko powróci do nicości, \n świat nie uniknie tego losu.	[0, 57, 'DINRoundOffcPro']
ep26_05005	Bez znaczenia...	[0, 16, 'DINRoundOffcPro']
ep26_05006	Dzielnie walczyłaś. \n Ale nie musisz już cierpieć.	[0, 48, 'DINRoundOffcPro']
ep26_05007	Zaakceptuj moją wizję świata, \n a otrzymasz wszystko czego pragniesz.	[0, 67, 'DINRoundOffcPro']
ep26_05008	Pozwól mi ulżyć ci w bólu.	[0, 26, 'DINRoundOffcPro']
ep26_05009	Twoje umiłowane miasto...	[0, 25, 'DINRoundOffcPro']
ep26_05010	Ludzie, których kochasz. \n To wszytko może być twoje.	[0, 51, 'DINRoundOffcPro']
ep26_05011	Nawet nie będziesz mnie pamiętać.	[0, 33, 'DINRoundOffcPro']
ep26_05012	Nie będziesz pamiętać tego paktu.	[0, 33, 'DINRoundOffcPro']
ep26_05013	Świat bez końca \n Kraina wiecznego pokoju.	[0, 40, 'DINRoundOffcPro']
ep26_05015	Jednak...	[0, 9, 'DINRoundOffcPro']
ep26_05016	Malutka, nie martw się już niczym.	[0, 34, 'DINRoundOffcPro']
ep26_05017	Zaakceptuj mój świat. \n To najlepszy i jedyny wybór.	[0, 50, 'DINRoundOffcPro']
ep26_06000	Czy to... śpiew?	[0, 16, 'DINRoundOffcPro']
ep26_06001	Wciąż... mogę...	[0, 16, 'DINRoundOffcPro']
ep26_06002	Wzywają... mnie...	[0, 18, 'DINRoundOffcPro']
f5aa79e3	Dlatego muszę \n już iść.	[0, 22, 'DINRoundOffcPro']
fef27be9	Ale teraz jestem \n znacznie silniejsza.	[0, 37, 'DINRoundOffcPro']
