Reference Name	Text	Font
0e810c56	Raven.	[0, 6, 'DINRoundOffcPro']
17c90e5c	Chegou ao fim.	[0, 14, 'DINRoundOffcPro']
1bd68d9a	Vá!	[0, 3, 'DINRoundOffcPro']
41b8ff57	...	[0, 3, 'DINRoundOffcPro']
5f3c860d	Kat!	[0, 4, 'DINRoundOffcPro']
7c2707ca	Minha longa jornada...	[0, 22, 'DINRoundOffcPro']
856f09d0	Eu teria que me tornar uma singularidade \n e lacrar as trevas dentro do buraco negro.	[0, 83, 'DINRoundOffcPro']
87047f6f	Eu sei.	[0, 7, 'DINRoundOffcPro']
a8ab6d65	Você... \n precisa ir?	[0, 19, 'DINRoundOffcPro']
b1f36f6b	Ei, você lembra? \n Você me deteve \n 100 anos atrás.	[0, 47, 'DINRoundOffcPro']
d29a5e61	O criador, Bit, me disse uma coisa, depois que eu \n recuperei as memórias perdidas há um século.	[0, 94, 'DINRoundOffcPro']
dbe26067	Havia outra solução...	[0, 22, 'DINRoundOffcPro']
e31a75d7	Nunca pensei que \n o veria de novo. Temos que \n agradecer ao Bit.	[0, 61, 'DINRoundOffcPro']
ec6277dd	Faria qualquer coisa \n para proteger \n este mundo.	[0, 46, 'DINRoundOffcPro']
ep26_00100	Agh, o vento é muito forte!	[0, 27, 'DINRoundOffcPro']
ep26_00100c_010	Você se mostrou...	[0, 18, 'DINRoundOffcPro']
ep26_00100c_020	Trevas.	[0, 7, 'DINRoundOffcPro']
ep26_00100c_030	Vazio.	[0, 6, 'DINRoundOffcPro']
ep26_00100c_040	Medo.	[0, 5, 'DINRoundOffcPro']
ep26_00100c_050	Desespero.	[0, 10, 'DINRoundOffcPro']
ep26_00100c_060	O fim.	[0, 6, 'DINRoundOffcPro']
ep26_00100c_070	A força destrutiva \n que devolverá o \n mundo ao nada.	[0, 49, 'DINRoundOffcPro']
ep26_00100c_080	Só há um jeito \n de proteger a luz \n da escuridão...	[0, 48, 'DINRoundOffcPro']
ep26_00100c_090	Você é \n a solução.	[0, 17, 'DINRoundOffcPro']
ep26_00101	Preciso ficar mais pesada pra resistir ao vento!	[0, 48, 'DINRoundOffcPro']
ep26_00104	Derrote a força destrutiva	[0, 26, 'DINRoundOffcPro']
ep26_00105	Preciso destruir todos os núcleos.	[0, 34, 'DINRoundOffcPro']
ep26_00106	Os núcleos estão voltando!?	[0, 27, 'DINRoundOffcPro']
ep26_00107	Mas tenho que parar essa coisa!	[0, 31, 'DINRoundOffcPro']
ep26_00108	Ele fica voltando à vida!	[0, 25, 'DINRoundOffcPro']
ep26_00110	O que é aquilo?	[0, 15, 'DINRoundOffcPro']
ep26_00300m_010	Você veio...	[0, 12, 'DINRoundOffcPro']
ep26_00410k_010	Kat!	[0, 4, 'DINRoundOffcPro']
ep26_00410k_020	Depois de tudo que \n você fez por nós...	[0, 38, 'DINRoundOffcPro']
ep26_00410k_030	Vamos fazer tudo \n que for possível \n para ajudar!	[0, 46, 'DINRoundOffcPro']
ep26_00500m_010	Vou proteger Kat!	[0, 17, 'DINRoundOffcPro']
ep26_00510k_010	Não se preocupe, tenho \n o controle agora!	[0, 40, 'DINRoundOffcPro']
ep26_00510k_020	Ainda sou a Cecie aqui \n dentro. Farei o que for \n preciso para impedir \n aquela coisa!	[0, 81, 'DINRoundOffcPro']
ep26_00510k_030	Por favor, Kat, já! \n Destrua aquele \n monstro!	[0, 43, 'DINRoundOffcPro']
ep26_00510k_040	Cecie!	[0, 6, 'DINRoundOffcPro']
ep26_01000	O Bismalia!	[0, 11, 'DINRoundOffcPro']
ep26_01001	Talvez a gente tenha uma chance!	[0, 32, 'DINRoundOffcPro']
ep26_02000	Lisa!!!	[0, 7, 'DINRoundOffcPro']
ep26_02001	Aquele núcleo é diferente dos outros, preciso quebrá-lo!	[0, 56, 'DINRoundOffcPro']
ep26_02002	O que tá acontecendo!?	[0, 22, 'DINRoundOffcPro']
ep26_02003	Estou tão fraca...	[0, 18, 'DINRoundOffcPro']
ep26_02005	Mesmo se você roubar meu poder, não vou desistir!	[0, 49, 'DINRoundOffcPro']
ep26_02100	Toma essa!	[0, 10, 'DINRoundOffcPro']
ep26_03000	Derrote a força destrutiva	[0, 26, 'DINRoundOffcPro']
ep26_04000	Como é que aquilo ainda se mexe!?	[0, 33, 'DINRoundOffcPro']
ep26_04002	Dusty, não, você também não!	[0, 28, 'DINRoundOffcPro']
ep26_04004	Cecie: \n Kat, corra!	[0, 7, 'DINRoundOffcPro'], [7, 18, 'DINRoundOffcPro']
ep26_04006	Cecie!	[0, 6, 'DINRoundOffcPro']
ep26_04007	Seu poder de controlar a gravidade sumiu!	[0, 41, 'DINRoundOffcPro']
ep26_04010	Os ataques especiais e os campos de estase foram bloqueados!	[0, 60, 'DINRoundOffcPro']
ep26_04012	A mudança de estilos foi bloqueada!	[0, 35, 'DINRoundOffcPro']
ep26_05000	Eu tenho que... ir...	[0, 21, 'DINRoundOffcPro']
ep26_05001	Pequena, por que você suporta tanta dor? 	[0, 41, 'DINRoundOffcPro']
ep26_05002	Por que você luta? 	[0, 19, 'DINRoundOffcPro']
ep26_05003	Aceitando ou não...	[0, 19, 'DINRoundOffcPro']
ep26_05004	Tudo retornará ao nada, \n o mundo nao pode escapar deste destino.	[0, 63, 'DINRoundOffcPro']
ep26_05005	Isso... não importa...	[0, 22, 'DINRoundOffcPro']
ep26_05006	Você lutou tão bravamente. \n Não precisa sofrer mais.	[0, 51, 'DINRoundOffcPro']
ep26_05007	Aceite o mundo que estou criando, \n e você terá tudo que deseja.	[0, 62, 'DINRoundOffcPro']
