Reference Name	Text	Font
ep19_00100	这是什么地方...？	[0, 10, 'DFHEI5-V-SONY']
ep19_00101	跟着瑞雯继续深入	[0, 8, 'DFHEI5-V-SONY']
ep19_00102	等等，瑞雯！	[0, 6, 'DFHEI5-V-SONY']
ep19_00103	瑞雯！	[0, 3, 'DFHEI5-V-SONY']
ep19_00104	她走了...	[0, 6, 'DFHEI5-V-SONY']
ep19_00105	那是...	[0, 5, 'DFHEI5-V-SONY']
ep19_00106	瑞雯？	[0, 3, 'DFHEI5-V-SONY']
ep19_00107	嘿，等等！	[0, 5, 'DFHEI5-V-SONY']
ep19_00108	她先走了...	[0, 7, 'DFHEI5-V-SONY']
ep19_00200m_010	我们有两个女孩。	[0, 8, 'DFHEI5-V-SONY']
ep19_00200m_020	一个睡着了，一个醒着。 \n 也许让她们碰面会有好事情发生。	[0, 27, 'DFHEI5-V-SONY']
ep19_00200m_030	她来自另一个时空... \n 把她带来可不容易...	[0, 23, 'DFHEI5-V-SONY']
ep19_00200m_040	等等！	[0, 3, 'DFHEI5-V-SONY']
ep19_00200m_050	等等！	[0, 3, 'DFHEI5-V-SONY']
ep19_00200m_060	我们...	[0, 5, 'DFHEI5-V-SONY']
ep19_00200m_070	在哪？	[0, 3, 'DFHEI5-V-SONY']
ep19_00210k_010	瑞雯...她看不见我。	[0, 11, 'DFHEI5-V-SONY']
ep19_00210k_020	我最好还是跟着她。	[0, 9, 'DFHEI5-V-SONY']
ep19_00300m_010	瑞雯？	[0, 3, 'DFHEI5-V-SONY']
ep19_00300m_020	等等，你是谁？	[0, 7, 'DFHEI5-V-SONY']
ep19_00310k_010	嗯？	[0, 2, 'DFHEI5-V-SONY']
ep19_00310k_020	发，发生什么了？ \n 我不能改变重力形式了。	[0, 20, 'DFHEI5-V-SONY']
ep19_00310k_030	她是不是对我做了什么！？	[0, 12, 'DFHEI5-V-SONY']
ep19_00310k_040	要确定只有一个办法...	[0, 12, 'DFHEI5-V-SONY']
ep19_00320k_010	操控那些碑碣， \n 解除我的力量...	[0, 17, 'DFHEI5-V-SONY']
ep19_00320k_020	她对我做了什么？ \n 我必须抓住她， \n 好好问清楚！	[0, 23, 'DFHEI5-V-SONY']
ep19_00330k_010	我终于又能操控重力了！	[0, 11, 'DFHEI5-V-SONY']
ep19_00330k_020	但是我还是不能 \n 改变形式...	[0, 15, 'DFHEI5-V-SONY']
ep19_00330k_030	只有她能把我的 \n 力量恢复...	[0, 15, 'DFHEI5-V-SONY']
