Reference Name	Text	Font
sm19_00100	The yell came from over there!	[0, 30, 'DINRoundOffcPro']
sm19_00100k_010	Help me!	[0, 8, 'DINRoundOffcPro']
sm19_00100k_020	Hold on, I'm just a kid. \n How am I supposed to \n help you!?	[0, 56, 'DINRoundOffcPro']
sm19_00100k_030	You must be used to \n Scarabs living down \n here.	[0, 45, 'DINRoundOffcPro']
sm19_00100k_040	I can't handle them, \n they're so disgusting. \n Hold them off while I \n run!	[0, 70, 'DINRoundOffcPro']
sm19_00100k_050	What the-!? \n How could he put that \n poor boy in danger!?	[0, 54, 'DINRoundOffcPro']
sm19_00101	Look at all those Nevi!	[0, 23, 'DINRoundOffcPro']
sm19_00102	Those people are pinned down!	[0, 29, 'DINRoundOffcPro']
sm19_00103	Defeat the Nevi	[0, 15, 'DINRoundOffcPro']
sm19_00104	I have to help them!	[0, 20, 'DINRoundOffcPro']
sm19_00106	Find Whoever \n Yelled for Help	[0, 28, 'DINRoundOffcPro']
sm19_00130k_010	Thank you, if it weren't \n for-	[0, 29, 'DINRoundOffcPro']
sm19_00130k_020	I like the cut of your \n jib. Would you like a \n job?	[0, 49, 'DINRoundOffcPro']
sm19_00130k_030	Take me to safety - I'll \n pay you handsomely.	[0, 44, 'DINRoundOffcPro']
sm19_00130k_040	Please, miss, my \n sister... She's out \n there all alone with the \n Scarabs.	[0, 70, 'DINRoundOffcPro']
sm19_00130k_050	Stay out of this, kid! \n This is between us \n adults.	[0, 49, 'DINRoundOffcPro']
sm19_00130k_060	Some adult you are!	[0, 19, 'DINRoundOffcPro']
sm19_00130k_070	Dad told me never to \n speak back to people \n from Havina...	[0, 56, 'DINRoundOffcPro']
sm19_00130k_080	Don't worry about him, \n or your sister - I'm \n sure she'll be okay.	[0, 64, 'DINRoundOffcPro']
sm19_00130k_090	O-Okay.	[0, 7, 'DINRoundOffcPro']
sm19_00150k_010	Where did you say your \n sister was?	[0, 34, 'DINRoundOffcPro']
sm19_00150k_020	The big island in the \n middle. At least, I \n think so.	[0, 51, 'DINRoundOffcPro']
sm19_00150k_030	She's probably hiding \n somewhere.	[0, 32, 'DINRoundOffcPro']
sm19_00200k_010	Ugh, I never should've \n gone down to the slums.	[0, 46, 'DINRoundOffcPro']
sm19_00200k_020	We're done, you \n can go now.	[0, 27, 'DINRoundOffcPro']
sm19_00200k_030	Oh right, \n your money.	[0, 21, 'DINRoundOffcPro']
sm19_00200k_040	I don't want \n your money!	[0, 24, 'DINRoundOffcPro']
sm19_00200k_050	I need to get back to \n find that boy's sister!	[0, 45, 'DINRoundOffcPro']
sm19_00300k_010	*Sniff* *Sniff* \n I'm so scared...	[0, 32, 'DINRoundOffcPro']
sm19_00300k_020	You don't have to be \n anymore. I'm here to \n help.	[0, 47, 'DINRoundOffcPro']
sm19_00300k_030	Your brother asked me to \n come find you, I'm sorry \n it took so long.	[0, 66, 'DINRoundOffcPro']
sm19_00300k_040	Let's fly away from \n those horrible Scarabs!	[0, 43, 'DINRoundOffcPro']
sm19_00310k_010	Hey!!!	[0, 6, 'DINRoundOffcPro']
sm19_00310k_020	I'm so glad you're safe! \n Thank you for saving my \n little sister.	[0, 63, 'DINRoundOffcPro']
sm19_00310k_030	It's dangerous here, you \n should go hide.	[0, 40, 'DINRoundOffcPro']
