Reference Name	Text	Font
sm32_00100	打破箱子	[0, 4, 'DFHEI5-V-SONY']
sm32_00100k_010	...	[0, 3, 'DFHEI5-V-SONY']
sm32_00100k_020	怎么了，卡基？ \n 有什么烦心事吗？	[0, 16, 'DFHEI5-V-SONY']
sm32_00100k_030	嗯，我负责训练所有 \n 新人...	[0, 15, 'DFHEI5-V-SONY']
sm32_00100k_040	可是有个学员没露面， \n 他甚至没来报到。	[0, 19, 'DFHEI5-V-SONY']
sm32_00100k_050	也许他只是睡过头了？	[0, 10, 'DFHEI5-V-SONY']
sm32_00100k_060	那个，凯特，你能不 \n 能代替他接受训练？	[0, 19, 'DFHEI5-V-SONY']
sm32_00100k_070	为什么是我？	[0, 6, 'DFHEI5-V-SONY']
sm32_00100k_080	我希望有人可以 \n 对我的训练项目进行 \n 客观评价。	[0, 23, 'DFHEI5-V-SONY']
sm32_00100k_090	尽管我相信它对于 \n 像你这样的人来说 \n 是太容易了...	[0, 26, 'DFHEI5-V-SONY']
sm32_00100k_100	嗯... 训练听起来 \n 确实有点无聊...	[0, 20, 'DFHEI5-V-SONY']
sm32_00100k_110	这样吧，你帮 \n 我这个忙，我就请 \n 你吃饭。	[0, 20, 'DFHEI5-V-SONY']
sm32_00100k_120	好吧，你让我上钩 \n 了！而且帮助警察 \n 是市民的责任， \n 是吧？	[0, 29, 'DFHEI5-V-SONY']
sm32_00100k_130	谢谢你。 \n 好，那我们去 \n 训练场吧。	[0, 17, 'DFHEI5-V-SONY']
sm32_00101k_010	我们来开始 \n 训练吧。	[0, 10, 'DFHEI5-V-SONY']
sm32_00101k_020	请不要使用你的失 \n 重能力，这样我们 \n 才能模拟普通新人 \n 的体验。	[0, 31, 'DFHEI5-V-SONY']
sm32_00101k_030	嗯，没问题！	[0, 6, 'DFHEI5-V-SONY']
sm32_00101k_040	说句“是”就行 \n 了。既然你是个新 \n 人，你的举止就得 \n 像个新人。	[0, 31, 'DFHEI5-V-SONY']
sm32_00101k_050	他对这个有点太较 \n 真了...	[0, 14, 'DFHEI5-V-SONY']
sm32_00101k_060	首先要训练你的 \n “图像记忆”。	[0, 15, 'DFHEI5-V-SONY']
sm32_00101k_070	这对提升专注力和 \n 记忆能力很重要。	[0, 17, 'DFHEI5-V-SONY']
sm32_00101k_080	不过在开始之前， \n 先打破那个箱子。	[0, 17, 'DFHEI5-V-SONY']
sm32_00101k_090	啊？ \n 要打破那个箱子？	[0, 11, 'DFHEI5-V-SONY']
sm32_00102	记住图片的内容	[0, 7, 'DFHEI5-V-SONY']
sm32_00102k_010	爆、爆炸了！	[0, 6, 'DFHEI5-V-SONY']
sm32_00102k_020	如果你答错， \n 它就会爆炸。	[0, 13, 'DFHEI5-V-SONY']
sm32_00102k_030	在真正的调查中， \n 犯错是攸关生死的。	[0, 18, 'DFHEI5-V-SONY']
sm32_00102k_040	我想让新人理解这 \n 一点，不仅从思想 \n 上领会，还要有切 \n 身体会。 	[0, 32, 'DFHEI5-V-SONY']
sm32_00102k_050	可是那样很危险！	[0, 8, 'DFHEI5-V-SONY']
sm32_00102k_060	我确信火药 \n 不足以伤害任何人。	[0, 15, 'DFHEI5-V-SONY']
sm32_00102k_070	如果你想避免疼痛， \n 你要做的就是正确 \n 回答问题。	[0, 24, 'DFHEI5-V-SONY']
sm32_00102k_080	这个训练项目有点 \n 极端...	[0, 14, 'DFHEI5-V-SONY']
sm32_00103	按住 k：关闭图片，回答问题	[0, 3, 'DFHEI5-V-SONY'], [3, 4, 'Gravity2_Gaiji'], [4, 14, 'DFHEI5-V-SONY']
